Id;latitude;longitude;bright_ti4;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_ti5;frp;daynight;type;Zona;Trimestre;Año
 ;4,683679;-73,225334;339,4;0,68;0,74;16/02/2012;1906;N;VIIRS;n;1;292,85;10,14;D;0;Boyacá;1;2012
 ;4,683715;-73,223221;329,54;0,68;0,74;16/02/2012;1906;N;VIIRS;n;1;292,94;9,67;D;0;Boyacá;1;2012
 ;4,684419;-73,219917;333,26;0,68;0,74;16/02/2012;1906;N;VIIRS;n;1;292,45;12,57;D;0;Boyacá;1;2012
 ;4,68452;-73,217598;354,4;0,68;0,74;16/02/2012;1906;N;VIIRS;n;1;293,68;9,67;D;0;Boyacá;1;2012
 ;4,685217;-73,214081;350,77;0,68;0,74;16/02/2012;1906;N;VIIRS;n;1;294,04;12,57;D;0;Boyacá;1;2012
 ;4,704691;-73,226074;338,53;0,39;0,36;24/02/2012;1815;N;VIIRS;n;1;300,12;9,03;D;0;Boyacá;1;2012
 ;4,714911;-73,218132;355,23;0,33;0,55;17/02/2012;1847;N;VIIRS;n;1;294,99;3,88;D;0;Boyacá;1;2012
 ;4,730016;-73,117935;346,06;0,44;0,46;07/03/2012;1750;N;VIIRS;n;1;295,95;7,93;D;0;Boyacá;1;2012
 ;4,733849;-73,206291;354,98;0,47;0,64;21/02/2012;1732;N;VIIRS;n;1;297,33;27,13;D;0;Boyacá;1;2012
 ;4,734256;-73,118591;344,04;0,44;0,46;07/03/2012;1750;N;VIIRS;n;1;295,17;7,93;D;0;Boyacá;1;2012
 ;4,743339;-73,186867;342,88;0,4;0,44;23/02/2012;1834;N;VIIRS;n;1;305,16;6,68;D;0;Boyacá;1;2012
 ;4,748747;-73,085602;335,92;0,42;0,38;16/03/2012;1822;N;VIIRS;n;1;294,94;4,11;D;0;Boyacá;1;2012
 ;4,768617;-73,09967;331,8;0,41;0,45;23/02/2012;1834;N;VIIRS;n;1;299,85;1,9;D;0;Boyacá;1;2012
 ;4,788306;-73,27597;340,98;0,4;0,44;23/02/2012;1834;N;VIIRS;n;1;300,47;5,09;D;0;Boyacá;1;2012
 ;4,788743;-73,275398;340,64;0,4;0,44;23/02/2012;1834;N;VIIRS;n;1;300,57;4,23;D;0;Boyacá;1;2012
 ;4,793483;-73,324387;334,26;0,38;0,36;23/01/2012;1815;N;VIIRS;n;1;298,62;3,11;D;0;Boyacá;1;2012
 ;4,929096;-73,289337;334,44;0,49;0,4;18/02/2012;1828;N;VIIRS;n;1;298,24;8,47;D;0;Boyacá;1;2012
 ;4,948985;-73,233345;334,43;0,6;0,71;16/02/2012;1725;N;VIIRS;n;1;289,79;4,05;D;0;Boyacá;1;2012
 ;4,949168;-73,231354;338,03;0,6;0,71;16/02/2012;1725;N;VIIRS;n;1;291,23;6,52;D;0;Boyacá;1;2012
 ;5,238887;-72,961266;332,79;0,35;0,57;25/01/2012;1738;N;VIIRS;n;1;290,71;3,32;D;0;Boyacá;1;2012
 ;5,265277;-72,937958;331,64;0,51;0,41;18/02/2012;1828;N;VIIRS;n;1;294,76;7,9;D;0;Boyacá;1;2012
 ;5,265286;-72,939308;342;0,51;0,41;18/02/2012;1828;N;VIIRS;n;1;294,85;11,11;D;0;Boyacá;1;2012
 ;5,293197;-72,95993;332,52;0,43;0,38;29/02/2012;1822;N;VIIRS;n;1;298,61;3,24;D;0;Boyacá;1;2012
 ;5,341784;-72,650093;352,5;0,6;0,71;27/02/2012;1900;N;VIIRS;n;1;290,39;15,45;D;0;Boyacá;1;2012
 ;5,393362;-72,596748;333,12;0,36;0,58;01/02/2012;1847;N;VIIRS;n;1;291,42;3,97;D;0;Boyacá;1;2012
 ;5,398659;-72,597725;350,5;0,36;0,58;01/02/2012;1847;N;VIIRS;n;1;290,8;4,59;D;0;Boyacá;1;2012
 ;5,399089;-72,594597;336,9;0,36;0,58;01/02/2012;1847;N;VIIRS;n;1;292,29;4,59;D;0;Boyacá;1;2012
 ;5,437092;-73,014519;331,92;0,43;0,38;13/02/2012;1822;N;VIIRS;n;1;295,7;1,93;D;0;Boyacá;1;2012
 ;5,454333;-72,820297;336,35;0,44;0,46;23/02/2012;1834;N;VIIRS;n;1;301,32;3,1;D;0;Boyacá;1;2012
 ;5,460387;-72,812294;328,55;0,34;0,56;26/02/2012;1738;N;VIIRS;n;1;297,04;2,2;D;0;Boyacá;1;2012
 ;5,482687;-72,600845;330,24;0,4;0,44;20/02/2012;1750;N;VIIRS;n;1;295,87;3,09;D;0;Boyacá;1;2012
 ;5,483188;-72,619072;333,3;0,42;0,37;14/02/2012;1803;N;VIIRS;n;1;302,05;24,8;D;0;Boyacá;1;2012
 ;5,488973;-72,604477;331,28;0,42;0,37;14/02/2012;1803;N;VIIRS;n;1;299,05;3,41;D;0;Boyacá;1;2012
 ;5,499981;-74,152855;356,35;0,32;0,55;02/03/2012;1744;N;VIIRS;n;1;291,89;4,41;D;0;Boyacá;1;2012
 ;5,519851;-72,656258;339,1;0,42;0,61;21/02/2012;1732;N;VIIRS;n;1;296,42;4,41;D;0;Boyacá;1;2012
 ;5,522923;-72,65551;352,01;0,42;0,61;21/02/2012;1732;N;VIIRS;n;1;296,74;7,4;D;0;Boyacá;1;2012
 ;5,525721;-72,655739;330,25;0,42;0,61;21/02/2012;1732;N;VIIRS;n;1;293,88;4,41;D;0;Boyacá;1;2012
 ;5,530988;-74,060539;343,96;0,46;0,47;15/03/2012;1841;N;VIIRS;n;1;295,86;25,33;D;0;Boyacá;1;2012
 ;5,533203;-72,330643;338,61;0,46;0,39;29/02/2012;1822;N;VIIRS;n;1;300,38;5,95;D;0;Boyacá;1;2012
 ;5,55184;-72,730377;333,91;0,55;0,68;16/02/2012;1725;N;VIIRS;n;1;297,81;8,84;D;0;Boyacá;1;2012
 ;5,555752;-72,742882;340,59;0,44;0,46;23/02/2012;1834;N;VIIRS;n;1;299,14;7,04;D;0;Boyacá;1;2012
 ;5,556923;-72,676949;340,86;0,39;0,36;19/02/2012;1809;N;VIIRS;n;1;296,17;2,13;D;0;Boyacá;1;2012
 ;5,558768;-73,548264;340,13;0,39;0,44;07/02/2012;1834;N;VIIRS;n;1;299,32;5,5;D;0;Boyacá;1;2012
 ;5,559459;-72,747391;354,33;0,44;0,46;23/02/2012;1834;N;VIIRS;n;1;304,43;7,04;D;0;Boyacá;1;2012
 ;5,561498;-72,371368;343,19;0,66;0,73;26/01/2012;1719;N;VIIRS;n;1;289,29;13,02;D;0;Boyacá;1;2012
 ;5,562087;-72,375984;331,33;0,66;0,73;26/01/2012;1719;N;VIIRS;n;1;289,1;8,44;D;0;Boyacá;1;2012
 ;5,563037;-72,370819;338,66;0,66;0,73;26/01/2012;1719;N;VIIRS;n;1;288,6;8,44;D;0;Boyacá;1;2012
