Año,Trimestre,Mes,Día,acq_time,Año,bright_ti4,bright_ti5,confidence,daynight,frp,Id,instrument,Promedio de latitude,Promedio de longitude,satellite,scan,track,Trimestre,type,version,Zona
2012,Trim. 1,enero,21,3706,4024,664.13,588.27,n,D,6.93,"",VIIRS,6.1485155,-73.504261,N,0.82,1.22,2,0,2,Boyacá
2012,Trim. 1,enero,21,609,2012,304.14,289.08,n,N,0.56,"",VIIRS,5.444551,-72.452827,N,0.42,0.37,1,2,1,Boyacá
2012,Trim. 1,enero,22,12839,14084,2366.42,2064.11,n,D,46.1,"",VIIRS,5.767130000000001,-72.67551085714287,N,3.1,3.2499999999999996,7,2,7,Boyacá
2012,Trim. 1,enero,23,12711,14084,2348.18,2076.54,n,D,26.18,"",VIIRS,5.901153428571429,-73.69129314285715,N,2.74,2.5299999999999994,7,3,7,Boyacá
2012,Trim. 1,enero,24,5271,6036,997.95,894.2,n,D,16.57,"",VIIRS,5.803855666666666,-72.83657066666667,N,1.51,1.2200000000000002,3,2,3,Boyacá
2012,Trim. 1,enero,24,1306,4024,615.98,566.49,n,N,2.11,"",VIIRS,5.754901,-72.921341,N,0.68,1.12,2,4,2,Boyacá
2012,Trim. 1,enero,25,5214,6036,1009.38,868.22,n,D,11.36,"",VIIRS,5.875020333333334,-73.33506799999999,N,1.0899999999999999,1.73,3,0,3,Boyacá
2012,Trim. 1,enero,25,1268,4024,596.27,565.95,n,N,2.5,"",VIIRS,5.7636375,-72.931351,N,1,0.82,2,4,2,Boyacá
2012,Trim. 1,enero,26,5157,6036,1013.18,866.99,n,D,29.9,"",VIIRS,5.562207333333333,-72.37272366666667,N,1.98,2.19,3,0,3,Boyacá
2012,Trim. 1,enero,28,7288,8048,1347.66,1184.54,n,D,26.78,"",VIIRS,5.77987875,-72.6128045,N,1.79,1.54,4,0,4,Boyacá
2012,Trim. 1,enero,29,1803,2012,328.47,303.36,l,D,4.81,"",VIIRS,5.773099,-72.872162,N,0.42,0.38,1,2,1,Boyacá
2012,Trim. 1,enero,29,3606,4024,669.77,597.21,n,D,11.56,"",VIIRS,5.839323,-72.61264800000001,N,0.83,0.75,2,2,2,Boyacá
2012,Trim. 1,enero,29,700,2012,295.5,276.54,n,N,1.41,"",VIIRS,5.466634,-73.557533,N,0.4,0.6,1,2,1,Boyacá
2012,Trim. 1,enero,30,5232,6036,993.7,877.72,n,D,17.58,"",VIIRS,6.072122,-72.692159,N,1.5299999999999998,1.48,3,0,3,Boyacá
2012,Trim. 1,enero,30,641,2012,301.24,281.99,n,N,1.47,"",VIIRS,5.762984,-72.931114,N,0.41,0.45,1,2,1,Boyacá
2012,Trim. 1,enero,31,5175,6036,1016.83,877.03,n,D,17.95,"",VIIRS,5.514433333333334,-72.637484,N,1.62,2.03,3,2,3,Boyacá
2012,Trim. 1,enero,31,11196,36216,5458.06,5046.89,n,N,18.04,"",VIIRS,5.566999111111111,-73.27183955555557,N,6.92,6.490000000000001,18,36,18,Boyacá
2012,Trim. 1,febrero,1,20317,22132,3766.04,3208.46,n,D,58.84,"",VIIRS,5.828925363636364,-72.44628000000002,N,4.15,6.459999999999999,11,0,11,Boyacá
2012,Trim. 1,febrero,1,4221,14084,2121.81,1991.04,n,N,8.1,"",VIIRS,5.549670714285715,-72.88870128571429,N,3.6,2.8800000000000003,7,14,7,Boyacá
2012,Trim. 1,febrero,2,7312,8048,1345.48,1174.44,n,D,38.73,"",VIIRS,5.764604,-72.75427425000001,N,2.1300000000000003,1.6800000000000002,4,0,4,Boyacá
2012,Trim. 1,febrero,3,1809,2012,367,315.92,h,D,10.25,"",VIIRS,6.471333,-72.656555,N,0.38,0.36,1,0,1,Boyacá
2012,Trim. 1,febrero,3,5427,6036,1023.11,905.57,n,D,24.28,"",VIIRS,6.170207333333334,-72.59859999999999,N,1.1400000000000001,1.08,3,0,3,Boyacá
2012,Trim. 1,febrero,3,1412,4024,602.45,552.07,n,N,4.21,"",VIIRS,5.7396435,-73.05716699999999,N,1.1,1.3599999999999999,2,5,2,Boyacá
2012,Trim. 1,febrero,4,12253,14084,2399.57,2097.66,n,D,183.23,"",VIIRS,6.052286142857143,-72.92530285714285,N,3.130000000000001,3.17,7,0,7,Boyacá
2012,Trim. 1,febrero,4,1294,4024,597.23,555.49,n,N,2.59,"",VIIRS,5.7435755,-72.870987,N,1.07,1,2,2,2,Boyacá
2012,Trim. 1,febrero,5,3140,10060,1501.24,1391.22,n,N,5.2,"",VIIRS,5.5782824,-73.30903179999999,N,2.07,1.87,5,8,5,Boyacá
2012,Trim. 1,febrero,7,5504,6036,1027.92,897.63,n,D,22,"",VIIRS,5.868959666666666,-74.11780333333333,N,1.4500000000000002,1.28,3,0,3,Boyacá
2012,Trim. 1,febrero,10,634,2012,296.73,278.9,n,N,0.57,"",VIIRS,5.469551,-73.550682,N,0.47,0.4,1,2,1,Boyacá
2012,Trim. 1,febrero,11,3619,4024,734,589.45,h,D,67.51,"",VIIRS,6.0503824999999996,-72.5665475,N,1.27,1.44,2,0,2,Boyacá
2012,Trim. 1,febrero,11,11038,12072,2011.31,1767.58,n,D,57.01,"",VIIRS,6.178652333333333,-72.69017000000001,N,3.7,4.25,6,0,6,Boyacá
2012,Trim. 1,febrero,12,557,2012,295.17,280.18,n,N,1.26,"",VIIRS,5.47177,-73.550903,N,0.47,0.48,1,2,1,Boyacá
2012,Trim. 1,febrero,13,18220,20120,3332.48,2954.92,n,D,32.55,"",VIIRS,5.9978791,-73.4453163,N,4.2299999999999995,3.7600000000000002,10,0,10,Boyacá
2012,Trim. 1,febrero,14,28848,32192,5418.85,4791.63,n,D,144.05,"",VIIRS,5.692855499999999,-73.1341318125,N,7.040000000000001,6.130000000000002,16,0,16,Boyacá
2012,Trim. 1,febrero,15,641,2012,307.17,289.56,n,N,1.77,"",VIIRS,6.218553,-74.573135,N,0.49,0.41,1,2,1,Boyacá
2012,Trim. 1,febrero,16,3451,4024,734,588.64,h,D,22.65,"",VIIRS,6.2001745,-72.4122045,N,1.01,1.32,2,0,2,Boyacá
2012,Trim. 1,febrero,16,39587,44264,7429.75,6443.95,n,D,162.49,"",VIIRS,5.746991181818181,-73.00633727272727,N,12.59,15.200000000000001,22,0,22,Boyacá
2012,Trim. 1,febrero,16,4354,14084,2170.59,2015.38,n,N,9.48,"",VIIRS,5.855810857142858,-73.38009628571429,N,2.7099999999999995,2.5399999999999996,7,7,7,Boyacá
2012,Trim. 1,febrero,17,3694,4024,734,588,h,D,20.74,"",VIIRS,6.350182500000001,-72.305557,N,0.8,1.2,2,0,2,Boyacá
2012,Trim. 1,febrero,17,1847,2012,367,287,l,D,5.57,"",VIIRS,6.964214,-71.971298,N,0.43,0.62,1,0,1,Boyacá
2012,Trim. 1,febrero,17,24011,26156,4394.28,3822.04,n,D,76.16,"",VIIRS,5.995965153846155,-73.48726246153845,N,6.299999999999999,7.1499999999999995,13,0,13,Boyacá
2012,Trim. 1,febrero,17,1206,4024,614.92,585.4,n,N,3.31,"",VIIRS,6.218073,-74.573849,N,0.88,0.92,2,4,2,Boyacá
2012,Trim. 1,febrero,18,27420,30180,5064.06,4473.73,n,D,333.07,"",VIIRS,5.620359,-73.17657913333333,N,7.59,6.12,15,0,15,Boyacá
2012,Trim. 1,febrero,19,1809,2012,338.83,296.14,l,D,5.14,"",VIIRS,5.970421,-74.171593,N,0.41,0.37,1,0,1,Boyacá
2012,Trim. 1,febrero,19,9047,10060,1695.85,1492.16,n,D,31.86,"",VIIRS,6.1702742,-72.8058808,N,1.94,1.8099999999999996,5,0,5,Boyacá
2012,Trim. 1,febrero,20,26262,30180,5096.26,4476.68,n,D,135.86,"",VIIRS,5.749049533333334,-72.64500366666667,N,7.500000000000002,6.619999999999998,15,0,15,Boyacá
2012,Trim. 1,febrero,20,3235,10060,1503.54,1401.18,n,N,6.26,"",VIIRS,5.5831122,-73.45003799999999,N,2.48,2.45,5,6,5,Boyacá
2012,Trim. 1,febrero,21,12124,14084,2569,2083.61,h,D,116.91,"",VIIRS,5.6563475714285705,-72.90432642857142,N,3.04,4.33,7,0,7,Boyacá
2012,Trim. 1,febrero,21,27712,32192,5484.51,4747.75,n,D,122.78,"",VIIRS,5.818980375,-72.71026225,N,6.700000000000001,9.74,16,0,16,Boyacá
2012,Trim. 1,febrero,22,1853,2012,367,290.15,h,D,32.28,"",VIIRS,5.790698,-72.491943,N,0.49,0.65,1,0,1,Boyacá
2012,Trim. 1,febrero,22,1853,2012,367,286.75,l,D,32.28,"",VIIRS,5.796511,-72.494308,N,0.49,0.65,1,0,1,Boyacá
2012,Trim. 1,febrero,22,14825,16096,2738.69,2355.16,n,D,93.17,"",VIIRS,5.827675874999999,-73.49834175,N,3.3600000000000003,4.890000000000001,8,0,8,Boyacá
2012,Trim. 1,febrero,22,7919,26156,3953.64,3687.55,n,N,13.81,"",VIIRS,5.400401307692309,-73.03268846153846,N,5.65,4.95,13,16,13,Boyacá
2012,Trim. 1,febrero,23,53202,58348,9846.75,8718.03,n,D,178.27,"",VIIRS,5.629497206896552,-73.15945772413794,N,13.420000000000005,13.11,29,0,29,Boyacá
2012,Trim. 1,febrero,23,2202,8048,1197.11,1128.89,n,N,5.72,"",VIIRS,5.616436500000001,-72.9389915,N,2.17,2.04,4,8,4,Boyacá
